Show,Category,Contact,Pitch,Date Sent,Follow-up Date,Status,Notes
PodcastGuests.com,Platform,https://podcastguests.com/,Profile,,,,Free newsletter - apply to 5 per week
PodMatch,Platform,https://podmatch.com/,Profile,,,,
MatchMaker.fm,Platform,https://www.matchmaker.fm/find-guests/podcasts,Profile,,,,
Super Duty Tough Work,Music,https://superdutytoughwork.net/,A,,,,Ohio underground rapper Blueprint hosts
Heritage Hip-Hop Podcast,Music,https://www.heritagehiphop.com/ / IG @HeritageHipHop,A,,,,
Wax Trippin',Music,https://waxtrippin.com/ / IG @wax_trippin,A,,,,
LoCLE Grown,Music (Cleveland),https://www.loclegrown.com/,A,,,,
Shuffle (Ideastream),Music (Cleveland),https://www.ideastream.org/podcast/shuffle,A,,,,
Nerds Sip Podcast,Gaming,nerdssip@gmail.com,B,,,,Lead with Order of the Akasha
The Indie Dev Game Break,Gaming,https://indiedevgamebreak.substack.com/,B,,,,
Otome.com podcast,Gaming,https://itch.io/profile/otomecom,B,,,,
Self-Taught Devs,Tech,https://selftaughtdevs.net,C,,,,
Learn to Code With Me,Tech,https://learntocodewith.me/podcast/,C,,,,
Commit Your Code,Tech,https://creators.spotify.com/pod/profile/commityourcode,C,,,,
The Music NFT Show,Crypto/Web3,https://www.musicnftshow.com/,D,,,,
The Music NFT Podcast,Crypto/Web3,https://podcasts.apple.com/us/podcast/the-music-nft-podcast/id1607673110,D,,,,Contact in show notes
MUSIC x WEB3,Crypto/Web3,https://open.spotify.com/show/1XlJGhe7QLqhWGaMqlNEdD,D,,,,
Web3 with Sam Kamani,Crypto/Web3,https://www.web3pod.xyz/,D,,,,Has guest application
